seed,train,test
131493,0.9203384252644208,0.6999879851015259
548219,0.8334348891892434,0.5646258503401361
412962,0.9280575539568345,0.6996825396825398
976984,0.906620309145476,0.6996825396825398
202578,0.9135518652746974,0.5908927069566262
215023,0.8922542028601645,0.777056277056277
814265,0.9712230215827338,0.673469387755102
205916,0.8418746915149793,0.6450793650793651
346876,0.9497186280014103,0.7463556851311953
342547,0.9064162968003864,0.7277722277722277
250751,0.9209864154307875,0.7213203463203464
299942,0.9278315094049603,0.6733266733266733
752782,0.9352112824002674,0.6708074534161492
402281,0.870624747603165,0.7463556851311953
785371,0.9280575539568345,0.7256728778467908
835671,0.9205312382666645,0.6454403460290761
523700,0.9352854847384773,0.6450793650793651
390797,0.9423679101831316,0.5610766045548654
101304,0.9133978112859524,0.777056277056277
432071,0.906620309145476,0.8354037267080745
253826,0.9352112824002674,0.777056277056277
129638,0.9352112824002674,0.8066604995374653
929644,0.8604501756599547,0.673469387755102
178753,0.8920188040004456,0.6655844155844154
659486,0.9065234779555784,0.6188811188811189
129442,0.9066104692003972,0.7805383022774326
864499,0.8771846409575723,0.7277722277722277
820127,0.8984731202379868,0.673469387755102
327105,0.8778502669121908,0.6971523100555359
976786,0.8705035971223022,0.6708074534161492
