ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	random_seed	runtime_error	time_adjust	time_taken	total_inds	total_time	
0.3925188954541532	51.902	6.454	46.694	34.734	0.726874467162237	0	0	328	10	292	219	3	3	3	2	523700	0	0	1.0492181777954102	500	1.0492181777954102	
0.40739944935770084	57.2	6.055749128919861	23.979094076655052	17.634146341463413	0.7361586982019005	1	214	328	16.0	260.0	197.0	3	3.0	3.0	2.0	523700	0	0	0.14452147483825684	1000	1.193739652633667	
0.43599271372407905	48.278	5.803519061583578	18.914956011730204	13.81524926686217	0.7679385605439699	2	374	233	17.0	120.0	91.0	2	3.0	3.0	2.0	523700	0	0	0.11403036117553711	1500	1.307770013809204	
0.4508420239887948	38.374	5.473087818696884	14.88385269121813	10.75070821529745	0.7679385605439699	3	522	233	17.0	81.0	59.0	2	3.0	3.0	2.0	523700	0	0	0.09398412704467773	2000	1.4017541408538818	
0.45282392438872027	35.014	5.605555555555555	15.0	10.916666666666666	0.7679385605439699	4	663	233	17.0	101.0	78.0	3	3.0	3.0	2.0	523700	0	0	0.216170072555542	2500	1.6179242134094238	
0.475528740208543	38.146	5.773936170212766	15.77127659574468	11.430851063829786	0.8007675102837297	5	788	239	17.0	120.0	91.0	2	3.0	3.0	2.0	523700	0	0	0.09523725509643555	3000	1.7131614685058594	
0.4771970339249972	45.222	5.875634517766497	16.741116751269036	12.17258883248731	0.8007675102837297	6	895	239	16.0	167.0	125.0	3	3.0	3.0	2.0	523700	0	0	0.09011602401733398	3500	1.8032774925231934	
0.5004550689330866	44.828	5.883783783783784	16.0	11.632432432432433	0.8007675102837297	7	1026	240	15.0	139.0	104.0	3	3.0	3.0	2.0	523700	0	0	0.09757208824157715	4000	1.9008495807647705	
0.5021329611138727	54.354	6.193548387096774	18.373655913978496	13.451612903225806	0.8007675102837297	8	1155	250	20.0	165.0	125.0	3	3.0	3.0	2.0	523700	0	0	0.09367156028747559	4500	1.994521141052246	
0.5025406651770725	50.724	5.981333333333334	16.770666666666667	12.264	0.8007675102837297	9	1281	240	16.0	208.0	156.0	3	3.0	3.0	2.0	523700	0	0	0.09596562385559082	5000	2.090486764907837	
0.5101224356286651	42.37	5.871727748691099	14.497382198952879	10.55497382198953	0.8007675102837297	10	1400	240	20.0	165.0	125.0	4	3.0	3.0	2.0	523700	0	0	0.10187411308288574	5500	2.1923608779907227	
0.5186252669112275	46.242	5.757255936675461	14.981530343007915	10.889182058047494	0.8007675102837297	11	1522	239	13.0	166.0	125.0	2	3.0	3.0	2.0	523700	0	0	0.09687328338623047	6000	2.289234161376953	
0.5413207032658415	42.594	5.68668407310705	13.926892950391645	10.109660574412533	0.8007675102837297	12	1640	239	14.0	160.0	120.0	4	3.0	3.0	2.0	523700	0	0	0.10647916793823242	6500	2.3957133293151855	
0.5484210254430776	35.952	5.612903225806452	12.873449131513647	9.30272952853598	0.8007675102837297	13	1738	238	14.0	135.0	102.0	5	3.0	3.0	2.0	523700	0	0	0.09636616706848145	7000	2.492079496383667	
0.5528609182090969	30.548	5.521739130434782	12.654891304347826	9.125	0.8007675102837297	14	1871	236	14.0	72.0	55.0	5	3.0	3.0	2.0	523700	0	0	0.0847775936126709	7500	2.576857089996338	
0.5487294052067792	27.104	5.445876288659794	12.152061855670103	8.72938144329897	0.8007675102837297	15	1984	238	14.0	199.0	150.0	4	3.0	3.0	2.0	523700	0	0	0.08505487442016602	8000	2.661911964416504	
0.5393367666812947	27.31	5.50132625994695	12.360742705570292	8.907161803713528	0.8007675102837297	16	2108	241	11.0	171.0	127.0	4	3.0	3.0	2.0	523700	0	0	0.08233952522277832	8500	2.7442514896392822	
0.5386602602277009	25.262	5.415233415233415	11.714987714987714	8.417690417690418	0.8007675102837297	17	2202	241	12.0	111.0	82.0	5	3.0	3.0	2.0	523700	0	0	0.0830686092376709	9000	2.827320098876953	
