seed,train,test
131493,0.7699995512945154,0.7256728778467908
548219,0.7780762403064561,0.4768994446413801
412962,0.8007675102837297,0.556390977443609
976984,0.7878943257770418,0.4789915966386555
202578,0.8094479487013726,0.6166666666666666
215023,0.7840386076232183,0.6188811188811189
814265,0.7700702735243454,0.6655844155844154
205916,0.8145786069152388,0.5246285246285247
346876,0.8193891778787828,0.6464870185800418
342547,0.7768843748530587,0.6454403460290761
250751,0.7956025983810652,0.3900375939849624
299942,0.7899831211516549,0.6714285714285714
752782,0.7837043695098028,0.5071428571428571
402281,0.7764886443786148,0.5908927069566262
785371,0.7595399074911118,0.6464870185800418
835671,0.8007675102837297,0.6166666666666666
523700,0.8032599243109095,0.7008736311061893
390797,0.7780762403064561,0.5480859010270774
101304,0.779157740932899,0.5805545805545804
432071,0.8007675102837297,0.7278911564625852
253826,0.7801322485015838,0.5319626609949191
129638,0.7755783964316041,0.7008736311061893
929644,0.7754991984724585,0.5619047619047619
178753,0.7595399074911118,0.6733266733266733
659486,0.7772563690751715,0.5646258503401361
129442,0.7632813229935532,0.6420890937019968
864499,0.8408783691835939,0.6166666666666666
820127,0.791669508216271,0.6336248785228378
327105,0.777301888093255,0.5904761904761904
976786,0.8007675102837297,0.6420890937019968
