ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	random_seed	runtime_error	time_adjust	time_taken	total_inds	total_time	
0.3883622074422011	50.724	6.47	45.712	33.95	0.6995873147204537	0	0	322	10	287	215	3	3	3	2	178753	0	0	1.0264580249786377	500	1.0264580249786377	
0.5571321289617204	75.3	7.913043478260869	60.22049689440994	45.462732919254655	0.7396191495731536	1	179	277	18.0	244.0	185.0	5	3.0	3.0	2.0	178753	0	0	0.2363884449005127	1000	1.2628464698791504	
0.5798051625252069	57.496	7.563291139240507	37.01898734177215	27.569620253164558	0.7556245232504225	2	364	202	15.0	160.0	122.0	13	3.0	3.0	2.0	178753	0	0	0.1888577938079834	1500	1.4517042636871338	
0.5583679747520209	82.932	6.678571428571429	20.613095238095237	15.169642857142858	0.7700702735243454	3	529	163	13.0	91.0	66.0	12	3.0	3.0	2.0	178753	0	0	0.19054841995239258	2000	1.6422526836395264	
0.5868250591995502	40.506	6.19620253164557	16.04746835443038	11.772151898734178	0.7834945282148809	4	714	118	11.0	65.0	51.0	19	3.0	3.0	2.0	178753	0	0	0.15833592414855957	2500	1.800588607788086	
0.5619158802325657	107.408	7.12303664921466	21.994764397905758	16.452879581151834	0.784374579338608	5	833	119	13.0	72.0	56.0	29	3.0	3.0	2.0	178753	0	0	0.28069281578063965	3000	2.0812814235687256	
0.5994653357925025	109.832	7.175202156334231	22.711590296495956	17.00808625336927	0.7912363544008617	6	963	133	13.0	77.0	60.0	34	3.0	3.0	2.0	178753	0	0	0.1956651210784912	3500	2.276946544647217	
0.6285335201923863	111.654	8.800578034682081	32.90173410404624	25.205202312138727	0.7916269259090313	7	1118	133	16.0	89.0	69.0	89	3.0	3.0	2.0	178753	0	0	0.2266530990600586	4000	2.5035996437072754	
0.6642598404429068	114.412	9.199421965317919	34.83236994219653	26.748554913294797	0.798287685640961	8	1273	143	15.0	103.0	78.0	87	3.0	3.0	2.0	178753	0	0	0.21691465377807617	4500	2.7205142974853516	
0.640731581778466	125.764	9.924757281553399	36.84708737864078	28.429611650485437	0.7988538185640777	9	1362	158	21.0	114.0	90.0	92	3.0	3.0	2.0	178753	0	0	0.22129297256469727	5000	2.941807270050049	
