seed,train,test
131493,0.9127088159980491,0.673469387755102
548219,0.876886657226832,0.5610766045548654
412962,0.8707049285944378,0.673469387755102
976984,0.8756621909727487,0.6672932330827067
202578,0.869465440305983,0.5319626609949191
215023,0.8981602853310572,0.6714285714285714
814265,0.9058545025852245,0.619047619047619
205916,0.9062694315136126,0.7261904761904762
346876,0.8771846409575723,0.5646258503401361
342547,0.8839692802719847,0.673469387755102
250751,0.9280575539568345,0.8027210884353742
299942,0.8703277979120462,0.7542857142857142
752782,0.8994269092820388,0.8027210884353742
402281,0.8918493440541685,0.7542857142857142
785371,0.9203384252644208,0.6159420289855072
835671,0.8920188040004456,0.5921004060538944
523700,0.8842751775880683,0.6454403460290761
390797,0.9064162968003864,0.7822177822177822
101304,0.8620089816841627,0.5870258773484579
432071,0.9281620780585993,0.6464870185800418
253826,0.9209864154307875,0.6961807849874455
129638,0.8922208237460508,0.6159420289855072
929644,0.8765343520331982,0.5921004060538944
178753,0.9132063831910511,0.6159420289855072
659486,0.8845304150479365,0.6464870185800418
129442,0.8850593248937586,0.7008736311061893
864499,0.8703277979120462,0.6961807849874455
820127,0.8993748036913505,0.6996825396825398
327105,0.8918493440541685,0.6464870185800418
976786,0.920689518973057,0.6159420289855072
