mutation,crossover,tournament,generations,average train fitness,average test fitness,standard deviation
0.5,0.2,20,150, 0.8340858144552079, 0.6167661129734356, 0.03675232020057895
0.5,0.6,20,150, 0.8416651357746662, 0.615741287578719, 0.06120442675521901
None,0.9,2,150, 0.885487178259163, 0.6539439866679528, 0.0895875239674608
None,0.1,2,150, 0.9019979111545505, 0.6830240408891977, 0.06443479063299667
None,0.5,2,150, 0.9011173609032629, 0.6738507391070724, 0.08437998598715896
0.9,0.8,100,150, 0.7912655501801767, 0.6309596559974899, 0.08073325294955229
None,0.9,10,150, 0.9146686485369849, 0.682814130726731, 0.05934569244326082
0.1,0.4,20,150, 0.9014253933780153, 0.667126842991096, 0.06688457033914692
None,0.6,100,150, 0.9080317502154033, 0.682533480732926, 0.07255409315052014
0.5,0.8,20,150, 0.8385837357465182, 0.6290857824087117, 0.0720299762096717
0.7,0.8,100,150, 0.8115114163374814, 0.6106702854826586, 0.06372192301224819
0.1,0.4,2,150, 0.8618534768998743, 0.6521151713723108, 0.056820044539128534
0.5,0.6,100,150, 0.83558996935626, 0.6389673912739675, 0.06441689864737986
0.3,0.2,2,150, 0.8088087387145149, 0.6157430013096689, 0.0640863928194351
0.3,0.4,100,150, 0.8646546912327494, 0.6657903066185713, 0.0600648680253131
0.7,0.4,100,150, 0.8127022038692966, 0.6337433872813246, 0.0734627499657015
None,0.7,100,150, 0.9196320858396653, 0.6948052854620254, 0.06700242883982606
0.3,0.6,100,150, 0.864577420197246, 0.641088579351747, 0.07598862922135184
None,0.4,10,150, 0.9207003465721306, 0.6673067613087412, 0.0654098126211935
None,0.9,100,150, 0.9141623090315335, 0.6799227850408212, 0.07076557051753034
0.9,0.4,20,150, 0.7788454431888605, 0.6064710295529917, 0.06133793730767508
0.5,0.6,50,150, 0.8342351837135712, 0.6325438227863196, 0.07252875619625439
0.7,0.2,50,150, 0.8084397832067524, 0.6302799608065378, 0.07547508860836655
None,0.1,20,150, 0.8979304658130902, 0.6823218953932829, 0.06302276753998151
0.9,0.2,20,150, 0.7772777952752906, 0.6433253320991698, 0.06687979383440751
0.1,0.6,100,150, 0.9034805401671432, 0.694745538855784, 0.08238672534806647
0.9,0.6,2,150, 0.7747174775491303, 0.6218211711958728, 0.07607986802305611
0.1,0.6,20,150, 0.9041763432528792, 0.6994211174369015, 0.08481669689877169
0.3,0.2,100,150, 0.854991489751372, 0.6546149940722923, 0.07468014203299066
None,0.2,2,150, 0.9057060911086003, 0.670174184447257, 0.060872474215602136
0.7,0.6,10,150, 0.7990041542978243, 0.6356689832477663, 0.07978154571965149
0.7,0.2,20,150, 0.8073997291881674, 0.6291681346298559, 0.05579514450948606
0.3,0.8,50,150, 0.871838165303399, 0.6722580301180189, 0.08338811654327272
None,0.9,20,150, 0.9139641602414874, 0.6777792073996994, 0.06763020190735042
0.3,0.6,50,150, 0.8758109493406963, 0.6611669048865182, 0.08068374495044592
0.3,0.6,10,150, 0.8610621441576002, 0.6480407452730089, 0.06017671668041101
0.9,0.8,10,150, 0.7859125359583553, 0.6260421117226287, 0.0878717720737351
0.1,0.2,20,150, 0.8971708209961033, 0.6854418313241243, 0.08107750612977715
None,0.9,50,150, 0.9149620665112846, 0.6912319371849247, 0.060220960488577224
0.7,0.8,10,150, 0.8035010693397078, 0.6434335029855978, 0.06392461074321604
0.7,0.6,100,150, 0.8109702541344881, 0.6529626614795612, 0.07159483331869868
0.9,0.8,2,150, 0.7700989737313527, 0.6234008290011982, 0.07456930208717003
0.5,0.2,10,150, 0.8278843052622231, 0.621232497548886, 0.060321699032232036
None,0.8,10,150, 0.918473145375702, 0.6541484755384767, 0.07215505310381466
0.1,0.8,50,150, 0.8977647114772683, 0.6824505777266033, 0.07162398149417522
None,0.2,10,150, 0.906073221107448, 0.6885861860167534, 0.05241758425253219
0.1,0.6,2,150, 0.8523776285276115, 0.6511434592148491, 0.06738163204526004
0.3,0.8,100,150, 0.8625245164570996, 0.6492001957646145, 0.05688348683087275
0.5,0.8,10,150, 0.8274181097765968, 0.6216002848914872, 0.05885265340500554
0.9,0.4,50,150, 0.7833108398404387, 0.6141567120566739, 0.06562454883491603
None,0.6,50,150, 0.9047670271189847, 0.6695287824859182, 0.0718989545863851
0.7,0.4,50,150, 0.8141915817422791, 0.6220333536518736, 0.0669626264489127
0.5,0.4,10,150, 0.827255542375519, 0.6204637040757158, 0.049633420671203944
0.3,0.2,50,150, 0.8668107393029965, 0.6704231920484899, 0.05520934148256738
None,0.4,100,150, 0.9149835113167897, 0.6780046512019579, 0.060463104689226256
