seed,train,test
131493,0.8604501756599547,0.556390977443609
548219,0.8479188118684396,0.6188811188811189
412962,0.8920188040004456,0.6464870185800418
976984,0.8274996634708864,0.6708074534161492
202578,0.8845304150479365,0.6714285714285714
215023,0.8620089816841627,0.5619047619047619
814265,0.876886657226832,0.7008736311061893
205916,0.8849516659963954,0.6961807849874455
346876,0.8777614711726794,0.5921004060538944
342547,0.8563241561171983,0.6961807849874455
250751,0.8849997756472575,0.6961807849874455
299942,0.8850710476395003,0.7463556851311953
752782,0.8778502669121908,0.6708074534161492
402281,0.876886657226832,0.6450793650793651
785371,0.8634797100783308,0.777056277056277
835671,0.876886657226832,0.5619047619047619
523700,0.9062694315136126,0.6188811188811189
390797,0.8491558840042304,0.6409409277124357
101304,0.8610342134401308,0.5646258503401361
432071,0.827552705143259,0.6996825396825398
253826,0.8559197754578292,0.5363450678841764
129638,0.8184328706370563,0.7278911564625852
929644,0.8774292565947241,0.7542857142857142
178753,0.8776213112005051,0.619047619047619
659486,0.9065234779555784,0.6464870185800418
129442,0.8706917405054787,0.7542857142857142
864499,0.8248022271837703,0.510204081632653
820127,0.8562939209527158,0.6446886446886446
327105,0.8849516659963954,0.6409409277124357
976786,0.8910597223822337,0.5921004060538944
